"phase","cycle","order_seed","first","second","active_case_count","active_cases"
"measured","16","1016","nlohmann-2.0.0","rapidjson-1.9.5","16","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb;ABeautifulGame-glb;ABeautifulGame-draco-glb;NodePerformanceTest-glb"
"measured","17","1017","rapidjson-1.9.5","nlohmann-2.0.0","16","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb;ABeautifulGame-glb;ABeautifulGame-draco-glb;NodePerformanceTest-glb"
"measured","18","1018","nlohmann-2.0.0","rapidjson-1.9.5","16","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb;ABeautifulGame-glb;ABeautifulGame-draco-glb;NodePerformanceTest-glb"
"measured","19","1019","rapidjson-1.9.5","nlohmann-2.0.0","16","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb;ABeautifulGame-glb;ABeautifulGame-draco-glb;NodePerformanceTest-glb"
"measured","20","1020","nlohmann-2.0.0","rapidjson-1.9.5","16","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb;ABeautifulGame-glb;ABeautifulGame-draco-glb;NodePerformanceTest-glb"
"measured","21","1021","rapidjson-1.9.5","nlohmann-2.0.0","16","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb;ABeautifulGame-glb;ABeautifulGame-draco-glb;NodePerformanceTest-glb"
"measured","22","1022","nlohmann-2.0.0","rapidjson-1.9.5","16","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb;ABeautifulGame-glb;ABeautifulGame-draco-glb;NodePerformanceTest-glb"
"measured","23","1023","rapidjson-1.9.5","nlohmann-2.0.0","16","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb;ABeautifulGame-glb;ABeautifulGame-draco-glb;NodePerformanceTest-glb"
"measured","24","1024","nlohmann-2.0.0","rapidjson-1.9.5","16","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb;ABeautifulGame-glb;ABeautifulGame-draco-glb;NodePerformanceTest-glb"
"measured","25","1025","rapidjson-1.9.5","nlohmann-2.0.0","16","Box-gltf;Box-glb;Avocado-gltf;Avocado-glb;MorphStressTest-glb;SpecularTest-glb;EmissiveStrengthTest-glb;SimpleInstancing-glb;XmpMetadataRoundedCube-glb;TextureTransformMultiTest-glb;IridescenceSuzanne-glb;SheenTestGrid-glb;MaterialsVariantsShoe-glb;ABeautifulGame-glb;ABeautifulGame-draco-glb;NodePerformanceTest-glb"
